os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 1600 Six-Core Processor,Radeon RX 470/480/570/570X/580/580X/590,12240268,5.15.36-1-lts,,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
59.999,16678,11.194,66,45,63,1340,1750,1.71306,87,4.31716,25345403
60.0027,16682,11.194,66,45,63,1340,1750,1.71306,87,4.31716,125403493
60.0113,16644,8.1448,66,45,63,1340,1750,1.71306,85,4.3174,225466031
59.9888,16644,8.1448,66,45,63,1340,1750,1.71306,85,4.3174,325528318
59.9979,16633,8.1448,66,45,63,1340,1750,1.71306,85,4.3174,425586478
59.9981,16666,8.1448,66,45,63,1340,1750,1.71306,85,4.3174,525648124
59.9918,16701,8.1448,66,45,63,1340,1750,1.71306,85,4.3174,625706594
60.0407,16664,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,725764914
52.5155,16680,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,825823865
55.7269,16645,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,925884780
57.0079,16665,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,1025942078
57.695,16667,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,1125999526
59.9992,16666,9.04605,50,45,63,1340,1750,1.71306,84,4.31919,1226056604
59.9892,16665,9.79463,60,45,63,1340,1750,1.71306,84,4.32037,1326114683
59.9984,16658,9.79463,60,45,63,1340,1750,1.71306,84,4.32037,1426172622
59.9954,16680,9.79463,60,45,63,1340,1750,1.71306,84,4.32037,1526230071
59.9969,16626,9.79463,60,45,63,1340,1750,1.71306,84,4.32037,1626287248
60.1152,16634,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,1726346600
59.9884,16653,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,1826404950
60.0077,16651,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,1926462438
60.0269,16633,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,2026520388
60.0234,16647,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,2126577395
60.0108,16702,9.09091,50,45,63,1340,1750,1.71306,88,4.32262,2226634433
59.9746,16681,10.4762,66,45,63,1340,1750,1.71306,85,4.33067,2326693294
59.9958,16620,10.4762,66,45,63,1340,1750,1.71306,85,4.33067,2426751413
59.9951,16681,10.4762,66,45,63,1340,1750,1.71306,85,4.33067,2526808992
59.9895,16675,10.4762,66,45,63,1340,1750,1.71306,85,4.33067,2626866189
59.9961,16671,10.4762,66,45,63,1340,1750,1.71306,85,4.33067,2726927455
59.9892,16650,11.6086,50,45,64,1340,1750,1.71306,88,4.35218,2826985224
60.0032,16638,11.6086,50,45,64,1340,1750,1.71306,88,4.35218,2927045978
59.9997,16652,11.6086,50,45,64,1340,1750,1.71306,88,4.35218,3027103958
60.004,16673,11.6086,50,45,64,1340,1750,1.71306,88,4.35218,3127162207
59.9999,16673,8.5,61,45,64,1340,1750,1.71306,84,4.35218,3227219175
60.0041,16663,8.5,61,45,64,1340,1750,1.71306,84,4.35218,3327280019
60.0003,16675,8.5,61,45,64,1340,1750,1.71306,84,4.35218,3427336856
59.9907,16689,8.5,61,45,64,1340,1750,1.71306,84,4.35218,3527395277
59.9945,16689,8.5,61,45,64,1340,1750,1.71306,84,4.35218,3627453997
59.9971,16696,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,3727516014
60.0031,16672,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,3827573663
60.0113,16643,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,3927631812
60.0065,16675,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,4027690813
60.0042,16689,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,4127749544
60.0023,16669,10.2142,55,45,64,1340,1750,1.71306,83,4.35602,4227806411
59.9964,16692,9.48553,51,45,64,1340,1750,1.71306,85,4.36263,4327864912
60.0149,16676,9.48553,51,45,64,1340,1750,1.71306,85,4.36263,4427922731
60.0133,16643,9.48553,51,45,64,1340,1750,1.71306,85,4.36263,4527980469
